Possible building name,Suggested Building Name
admissions,AO
albers,AH
alumni,AF
bandstorage,UNKWN
bash,UNKWN
bbclub,TH
csa,CSA
css,CSA
devcntr,DEVCTR
doming,DH
elm,ELM
engine,CH
escal,EH
finearts,FA
firs,FIRS
garfb,GH
garfield,GH
gmh,GMH
gmhaw,GMH
gmhawo,GMH
gmhawoomni,GMH
gmhcwo,GMH
gmhcwoomni,GMH
hou,H
houston,H
hsc,HS
lhh,LHH
lib,L
library,L
libroof,L
libroofalt,L
littlemavs,DEVCTR
lucero,NAH
mavpav,MAVP
montrose,MONT
monument,MH
mpac,MPAC
narh,BH
oash,OASH
oashroof,OASH
pinon,PH
pinonlaundry,PH
rait,MRH
reslife,RL
sau,MC
sbclub,SBC
soccer,UNKWN
softball,SBC
swc,SWC
tolman,TH
ucroof,UC
uncntr,UC
walnut,WR
wccc,WCCC
wccca,BA
wcccb,BB
wingate,WH
wubsl,WS